Field of View,Cell ID,X,Y,Region
5,120,1433.7,327.44,SVZ
5,121,1326.8,365.9,SVZ
5,122,1518.6,367.08,SVZ
5,123,1571.7,389.54,SVZ
5,124,1191.2,404.88,SVZ
5,125,1237,405.36,SVZ
5,126,1494,425.43,SVZ
5,127,1534.4,434.05,SVZ
5,128,1436.6,441.98,SVZ
5,129,1193.7,455.84,SVZ
5,130,1347,467.32,SVZ
5,131,1446.7,478.94,SVZ
5,132,1514.1,495.4,SVZ
5,133,1385.5,500,SVZ
5,134,1336.7,507.72,SVZ
5,135,1288.2,521.83,SVZ
5,136,1451.1,530.33,SVZ
5,137,1205,533.3,SVZ
5,138,1296.7,550.37,SVZ
5,139,1325.8,561.68,SVZ
5,140,1261.7,571.44,SVZ
5,141,1280.9,600.11,SVZ
5,142,1215.3,619.27,SVZ
5,143,1068.6,629.86,SVZ
5,144,1256.2,646.6,SVZ
5,145,1313.2,657.35,SVZ
5,146,1192.1,656.44,SVZ
5,147,1161.9,682.58,SVZ
5,148,987.56,686.98,SVZ
5,149,1117.1,696.32,SVZ
5,150,1221.7,708.18,SVZ
5,151,1181.9,731.84,SVZ
5,152,1277.6,737.05,SVZ
5,153,1134.9,751.55,SVZ
5,154,943.41,772.13,SVZ
5,155,1197,780.63,SVZ
5,156,465.62,790.69,SVZ
5,157,555.58,788.12,SVZ
5,158,1104.5,803.24,SVZ
5,159,1020,804.7,SVZ
5,160,926.48,815.14,SVZ
5,161,1232.2,821.94,SVZ
5,162,601.2,823.12,SVZ
5,163,1048.3,841.21,SVZ
5,164,691.21,846.47,SVZ
5,165,617.23,857.67,SVZ
5,166,1223,855.49,SVZ
5,167,747.81,861.49,SVZ
5,168,969.54,868.85,SVZ
5,169,1196.3,867.79,SVZ
5,170,1166.2,884.25,SVZ
5,171,671.17,881.72,SVZ
5,172,427.64,893.97,SVZ
5,173,1333.4,894.12,SVZ
5,174,765.03,900.44,SVZ
5,175,503.13,903.63,SVZ
5,176,1082.5,898.77,SVZ
5,177,707.7,908,SVZ
5,178,1469.7,914.39,SVZ
5,179,1531.2,918.7,SVZ
5,180,1033.4,931.78,SVZ
5,181,551.75,931.78,SVZ
5,182,1396.7,930.3,SVZ
5,183,1318.2,933.31,SVZ
5,184,1583.8,941.25,SVZ
5,185,1125.1,947.05,SVZ
5,186,457.33,943.03,SVZ
5,187,743.39,947.68,SVZ
5,188,1477.6,954.21,SVZ
5,189,347.56,958.13,SVZ
5,190,1194.7,955.89,SVZ
5,191,684.86,964.57,SVZ
5,192,1632.8,962.99,SVZ
5,193,524.04,968.91,SVZ
5,194,1547.1,972.6,SVZ
5,195,1599,974.21,SVZ
5,196,1038.8,983.53,SVZ
5,197,1753.9,982,SVZ
5,198,1670.6,980.93,SVZ
5,199,1701.5,988.16,SVZ
5,200,1283.5,997.62,SVZ
5,201,1084.1,1004.8,SVZ
5,202,1725.6,1004.9,SVZ
5,203,526.26,1017,SVZ
5,204,576.41,1018.5,SVZ
5,205,1625.5,1016.6,SVZ
5,206,1685.6,1020.6,SVZ
5,207,1792.3,1026,SVZ
5,208,1497,1036.7,SVZ
5,209,1764.1,1035.3,SVZ
5,210,405.72,1044.8,SVZ
5,211,1011.2,1048.8,SVZ
5,212,1451.9,1048.5,SVZ
5,213,452.61,1050.3,SVZ
5,214,1731.5,1055.3,SVZ
5,215,1406.4,1054.8,SVZ
5,216,1084.6,1060.4,SVZ
5,217,1527.9,1075.7,SVZ
5,218,1567.9,1075.7,SVZ
5,219,494.96,1090.2,SVZ
5,220,911.84,1082,SVZ
5,221,1755.3,1091.1,SVZ
5,222,1066.3,1096.4,SVZ
5,223,1482.1,1092.6,SVZ
5,224,438.82,1096.8,SVZ
5,225,379.99,1098.7,SVZ
5,226,676.38,1101,SVZ
5,227,1790.6,1111.9,SVZ
5,228,1424.4,1111.4,SVZ
5,229,1604.9,1111.6,SVZ
5,230,1661.9,1117.9,SVZ
5,231,1018.3,1134.5,SVZ
5,232,725.92,1139.5,SVZ
5,233,1693.7,1142.2,SVZ
5,234,430.84,1141.7,SVZ
5,235,777.81,1142.8,SVZ
5,236,512.39,1143.3,SVZ
5,237,1081.6,1145.1,SVZ
5,238,1314.4,1152.6,SVZ
5,239,483.26,1161.4,SVZ
5,240,820.82,1169.6,SVZ
5,241,1383.3,1171.9,SVZ
5,242,1264.2,1188.7,SVZ
5,243,466.23,1193.2,SVZ
5,244,902.94,1193.8,SVZ
5,245,961.03,1191.1,SVZ
5,246,416.6,1202.9,SVZ
5,247,1167.4,1203,SVZ
5,248,763.6,1211,SVZ
5,249,1013.2,1214.3,SVZ
5,250,1731.2,1216.9,SVZ
5,251,1073.5,1223.1,SVZ
5,252,909.97,1231.2,SVZ
5,253,1651.6,1234.9,SVZ
5,254,1701.9,1239.7,SVZ
5,255,633.35,1243.5,SVZ
5,256,1213.1,1257.1,SVZ
5,257,922.88,1266.4,SVZ
